DateTime,wind_eastcentral,wind_west,wind_south
2024-01-05T00:00:00.0,1278.6,4868.1,0.0
2024-01-05T01:00:00.0,1584.8,5177.4,0.0
2024-01-05T02:00:00.0,1654.7,5203.6,0.0
2024-01-05T03:00:00.0,1497.0,4986.4,0.0
2024-01-05T04:00:00.0,1702.4,4801.5,0.0
2024-01-05T05:00:00.0,1942.7,4271.6,0.0
2024-01-05T06:00:00.0,1911.5,3834.2,0.0
2024-01-05T07:00:00.0,1751.9,3485.2,0.0
2024-01-05T08:00:00.0,1780.8,3623.3,0.0
2024-01-05T09:00:00.0,1950.8,3845.2,0.0
2024-01-05T10:00:00.0,1802.2,4172.8,0.0
2024-01-05T11:00:00.0,1507.4,4650.1,0.0
2024-01-05T12:00:00.0,1388.6,4755.8,0.0
2024-01-05T13:00:00.0,1630.1,4409.3,0.0
2024-01-05T14:00:00.0,1521.8,3774.5,0.0
2024-01-05T15:00:00.0,1092.9,4380.6,0.0
2024-01-05T16:00:00.0,1319.8,3582.8,0.0
2024-01-05T17:00:00.0,1731.1,2961.5,0.0
2024-01-05T18:00:00.0,1713.4,3282.0,0.0
2024-01-05T19:00:00.0,1864.4,4339.1,0.0
2024-01-05T20:00:00.0,1544.7,5121.4,0.0
2024-01-05T21:00:00.0,1322.9,5556.9,0.0
2024-01-05T22:00:00.0,1130.2,5209.4,0.0
2024-01-05T23:00:00.0,841.5,4700.2,0.0
2024-01-06T00:00:00.0,848.9,4285.6,0.0
2024-01-06T01:00:00.0,838.2,3888.8,0.0
2024-01-06T02:00:00.0,784.9,3430.6,0.0
2024-01-06T03:00:00.0,847.5,2768.4,0.0
2024-01-06T04:00:00.0,722.1,1977.2,0.0
2024-01-06T05:00:00.0,640.1,1470.0,0.0
2024-01-06T06:00:00.0,675.4,990.5,0.0
2024-01-06T07:00:00.0,746.9,588.2,0.0
2024-01-06T08:00:00.0,795.9,431.3,0.0
2024-01-06T09:00:00.0,1055.2,507.3,0.0
2024-01-06T10:00:00.0,1113.0,701.6,0.0
2024-01-06T11:00:00.0,843.3,1006.3,0.0
2024-01-06T12:00:00.0,678.2,1390.2,0.0
