DateTime,hydro_eastcentral,hydro_west,hydro_south
2022-01-01T00:00:00.0,327.9,89.9,138.2
2022-01-01T01:00:00.0,331.9,80.9,112.5
2022-01-01T02:00:00.0,340.6,79.0,107.8
2022-01-01T03:00:00.0,340.5,78.6,107.8
2022-01-01T04:00:00.0,338.8,79.1,107.8
2022-01-01T05:00:00.0,366.3,108.9,112.7
2022-01-01T06:00:00.0,381.2,112.4,112.9
2022-01-01T07:00:00.0,395.7,122.2,140.3
2022-01-01T08:00:00.0,386.7,141.3,163.5
2022-01-01T09:00:00.0,422.6,154.1,162.5
2022-01-01T10:00:00.0,439.6,154.4,172.1
2022-01-01T11:00:00.0,416.4,154.6,214.9
2022-01-01T12:00:00.0,406.1,151.6,214.5
2022-01-01T13:00:00.0,402.8,150.3,215.9
2022-01-01T14:00:00.0,378.8,150.1,254.7
2022-01-01T15:00:00.0,392.5,149.6,263.2
2022-01-01T16:00:00.0,490.3,151.7,261.9
2022-01-01T17:00:00.0,1162.7,177.9,258.8
2022-01-01T18:00:00.0,1236.8,182.4,245.2
2022-01-01T19:00:00.0,1056.3,182.1,240.0
2022-01-01T20:00:00.0,1023.8,182.2,239.0
2022-01-01T21:00:00.0,659.4,179.3,240.0
2022-01-01T22:00:00.0,458.0,129.9,196.9
2022-01-01T23:00:00.0,360.2,113.0,188.0
2022-01-02T00:00:00.0,304.0,86.5,188.2
2022-01-02T01:00:00.0,293.3,84.3,188.1
2022-01-02T02:00:00.0,291.9,84.4,224.8
2022-01-02T03:00:00.0,289.7,84.6,231.7
2022-01-02T04:00:00.0,279.8,94.2,233.2
2022-01-02T05:00:00.0,280.5,115.4,231.7
2022-01-02T06:00:00.0,282.3,115.2,230.9
2022-01-02T07:00:00.0,276.2,115.3,230.2
2022-01-02T08:00:00.0,313.1,125.4,230.2
2022-01-02T09:00:00.0,341.4,146.5,229.8
2022-01-02T10:00:00.0,327.8,170.3,229.4
2022-01-02T11:00:00.0,426.0,172.9,229.3
2022-01-02T12:00:00.0,392.4,174.4,205.2
2022-01-02T13:00:00.0,371.4,175.0,195.3
2022-01-02T14:00:00.0,329.4,174.8,194.2
2022-01-02T15:00:00.0,338.2,151.3,195.2
2022-01-02T16:00:00.0,399.0,148.3,238.2
2022-01-02T17:00:00.0,957.0,147.7,247.4
2022-01-02T18:00:00.0,1640.1,145.5,247.8
