interval_start_est,interval_end_est,node,lmp
2016-01-01T08:00:00.0,2016-01-01T09:00:00.0,MINN.HUB,18.02
2016-01-01T08:00:00.0,2016-01-01T09:00:00.0,TEXAS.HUB,22.53
2016-01-01T09:00:00.0,2016-01-01T10:00:00.0,ARKANSAS.HUB,23.22
2016-01-01T09:00:00.0,2016-01-01T10:00:00.0,ILLINOIS.HUB,22.65
2016-01-01T09:00:00.0,2016-01-01T10:00:00.0,INDIANA.HUB,22.06
2016-01-01T09:00:00.0,2016-01-01T10:00:00.0,LOUISIANA.HUB,23.91
2016-01-01T09:00:00.0,2016-01-01T10:00:00.0,MICHIGAN.HUB,22.86
2016-01-01T09:00:00.0,2016-01-01T10:00:00.0,MINN.HUB,17.69
2016-01-01T09:00:00.0,2016-01-01T10:00:00.0,TEXAS.HUB,23.62
2016-01-01T10:00:00.0,2016-01-01T11:00:00.0,ARKANSAS.HUB,23.79
2016-01-01T10:00:00.0,2016-01-01T11:00:00.0,ILLINOIS.HUB,23.45
2016-01-01T10:00:00.0,2016-01-01T11:00:00.0,INDIANA.HUB,22.72
2016-01-01T10:00:00.0,2016-01-01T11:00:00.0,LOUISIANA.HUB,24.67
2016-01-01T10:00:00.0,2016-01-01T11:00:00.0,MICHIGAN.HUB,23.71
2016-01-01T10:00:00.0,2016-01-01T11:00:00.0,MINN.HUB,18.6
2016-01-01T10:00:00.0,2016-01-01T11:00:00.0,TEXAS.HUB,24.17
2016-01-01T11:00:00.0,2016-01-01T12:00:00.0,ARKANSAS.HUB,23.33
2016-01-01T11:00:00.0,2016-01-01T12:00:00.0,ILLINOIS.HUB,23.92
2016-01-01T11:00:00.0,2016-01-01T12:00:00.0,INDIANA.HUB,23.01
2016-01-01T11:00:00.0,2016-01-01T12:00:00.0,LOUISIANA.HUB,24.07
2016-01-01T11:00:00.0,2016-01-01T12:00:00.0,MICHIGAN.HUB,23.95
2016-01-01T11:00:00.0,2016-01-01T12:00:00.0,MINN.HUB,18.8
2016-01-01T11:00:00.0,2016-01-01T12:00:00.0,TEXAS.HUB,23.9
2016-01-01T12:00:00.0,2016-01-01T13:00:00.0,ARKANSAS.HUB,21.95
2016-01-01T12:00:00.0,2016-01-01T13:00:00.0,ILLINOIS.HUB,23.23
2016-01-01T12:00:00.0,2016-01-01T13:00:00.0,INDIANA.HUB,23.09
2016-01-01T12:00:00.0,2016-01-01T13:00:00.0,LOUISIANA.HUB,22.62
2016-01-01T12:00:00.0,2016-01-01T13:00:00.0,MICHIGAN.HUB,23.59
2016-01-01T12:00:00.0,2016-01-01T13:00:00.0,MINN.HUB,18.56
2016-01-01T12:00:00.0,2016-01-01T13:00:00.0,TEXAS.HUB,22.53
2016-01-01T13:00:00.0,2016-01-01T14:00:00.0,ARKANSAS.HUB,21.12
2016-01-01T13:00:00.0,2016-01-01T14:00:00.0,ILLINOIS.HUB,22.21
2016-01-01T13:00:00.0,2016-01-01T14:00:00.0,INDIANA.HUB,22.42
2016-01-01T13:00:00.0,2016-01-01T14:00:00.0,LOUISIANA.HUB,21.79
2016-01-01T13:00:00.0,2016-01-01T14:00:00.0,MICHIGAN.HUB,22.78
2016-01-01T13:00:00.0,2016-01-01T14:00:00.0,MINN.HUB,17.92
2016-01-01T13:00:00.0,2016-01-01T14:00:00.0,TEXAS.HUB,21.72
2016-01-01T14:00:00.0,2016-01-01T15:00:00.0,ARKANSAS.HUB,20.57
2016-01-01T14:00:00.0,2016-01-01T15:00:00.0,ILLINOIS.HUB,22.04
2016-01-01T14:00:00.0,2016-01-01T15:00:00.0,INDIANA.HUB,22.29
2016-01-01T14:00:00.0,2016-01-01T15:00:00.0,LOUISIANA.HUB,21.43
2016-01-01T14:00:00.0,2016-01-01T15:00:00.0,MICHIGAN.HUB,21.9
2016-01-01T14:00:00.0,2016-01-01T15:00:00.0,MINN.HUB,16.63
2016-01-01T14:00:00.0,2016-01-01T15:00:00.0,TEXAS.HUB,21.17
2016-01-01T15:00:00.0,2016-01-01T16:00:00.0,ARKANSAS.HUB,20.27
2016-01-01T15:00:00.0,2016-01-01T16:00:00.0,ILLINOIS.HUB,21.55
2016-01-01T15:00:00.0,2016-01-01T16:00:00.0,INDIANA.HUB,21.87
2016-01-01T15:00:00.0,2016-01-01T16:00:00.0,LOUISIANA.HUB,21.06
2016-01-01T15:00:00.0,2016-01-01T16:00:00.0,MICHIGAN.HUB,22.17
2016-01-01T15:00:00.0,2016-01-01T16:00:00.0,MINN.HUB,16.81
2016-01-01T15:00:00.0,2016-01-01T16:00:00.0,TEXAS.HUB,20.83
2016-01-01T16:00:00.0,2016-01-01T17:00:00.0,ARKANSAS.HUB,20.74
2016-01-01T16:00:00.0,2016-01-01T17:00:00.0,ILLINOIS.HUB,23.19
2016-01-01T16:00:00.0,2016-01-01T17:00:00.0,INDIANA.HUB,22.69
2016-01-01T16:00:00.0,2016-01-01T17:00:00.0,LOUISIANA.HUB,21.55
