interval_start_est,interval_end_est,node,lmp
2023-01-16T00:00:00.0,2023-01-16T01:00:00.0,NSP.NOBLES.WND,3.66
2023-01-16T00:00:00.0,2023-01-16T01:00:00.0,NSP.PVALEY.WND,10.87
2023-01-17T00:00:00.0,2023-01-17T01:00:00.0,GRE.ALTW,3.03
2023-01-17T00:00:00.0,2023-01-17T01:00:00.0,MINN.HUB,11.91
2023-01-17T00:00:00.0,2023-01-17T01:00:00.0,NSP.NOBLES.WND,1.69
2023-01-17T00:00:00.0,2023-01-17T01:00:00.0,NSP.PVALEY.WND,11.81
2023-01-18T00:00:00.0,2023-01-18T01:00:00.0,GRE.ALTW,31.03
2023-01-18T00:00:00.0,2023-01-18T01:00:00.0,MINN.HUB,32.34
2023-01-18T00:00:00.0,2023-01-18T01:00:00.0,NSP.NOBLES.WND,29.96
2023-01-18T00:00:00.0,2023-01-18T01:00:00.0,NSP.PVALEY.WND,31.65
2023-01-19T00:00:00.0,2023-01-19T01:00:00.0,GRE.ALTW,19.86
2023-01-19T00:00:00.0,2023-01-19T01:00:00.0,MINN.HUB,23.17
2023-01-19T00:00:00.0,2023-01-19T01:00:00.0,NSP.NOBLES.WND,19.34
2023-01-19T00:00:00.0,2023-01-19T01:00:00.0,NSP.PVALEY.WND,21.67
2023-01-20T00:00:00.0,2023-01-20T01:00:00.0,GRE.ALTW,19.62
2023-01-20T00:00:00.0,2023-01-20T01:00:00.0,MINN.HUB,23.11
2023-01-20T00:00:00.0,2023-01-20T01:00:00.0,NSP.NOBLES.WND,18.87
2023-01-20T00:00:00.0,2023-01-20T01:00:00.0,NSP.PVALEY.WND,21.32
2023-01-21T00:00:00.0,2023-01-21T01:00:00.0,GRE.ALTW,34.43
2023-01-21T00:00:00.0,2023-01-21T01:00:00.0,MINN.HUB,32.67
2023-01-21T00:00:00.0,2023-01-21T01:00:00.0,NSP.NOBLES.WND,33.5
2023-01-21T00:00:00.0,2023-01-21T01:00:00.0,NSP.PVALEY.WND,33.89
2023-01-22T00:00:00.0,2023-01-22T01:00:00.0,GRE.ALTW,37.19
2023-01-22T00:00:00.0,2023-01-22T01:00:00.0,MINN.HUB,35.17
2023-01-22T00:00:00.0,2023-01-22T01:00:00.0,NSP.NOBLES.WND,36.92
2023-01-22T00:00:00.0,2023-01-22T01:00:00.0,NSP.PVALEY.WND,35.35
2023-01-23T00:00:00.0,2023-01-23T01:00:00.0,GRE.ALTW,29.92
2023-01-23T00:00:00.0,2023-01-23T01:00:00.0,MINN.HUB,28.43
2023-01-23T00:00:00.0,2023-01-23T01:00:00.0,NSP.NOBLES.WND,28.95
2023-01-23T00:00:00.0,2023-01-23T01:00:00.0,NSP.PVALEY.WND,29.88
2023-01-24T00:00:00.0,2023-01-24T01:00:00.0,GRE.ALTW,24.76
2023-01-24T00:00:00.0,2023-01-24T01:00:00.0,MINN.HUB,26.1
2023-01-24T00:00:00.0,2023-01-24T01:00:00.0,NSP.NOBLES.WND,24.35
2023-01-24T00:00:00.0,2023-01-24T01:00:00.0,NSP.PVALEY.WND,25.42
2023-01-25T00:00:00.0,2023-01-25T01:00:00.0,GRE.ALTW,30.88
2023-01-25T00:00:00.0,2023-01-25T01:00:00.0,MINN.HUB,26.71
2023-01-25T00:00:00.0,2023-01-25T01:00:00.0,NSP.NOBLES.WND,32.17
