technology,year,power_mw,duration,estimate_type,parameter_category,parameter,value
CAES,2023,100,10,Point,Capital Cost,Total Installed Cost ($/kWh),112.53
CAES,2023,100,10,Point,LCOS,LCOS_Project_Life (yrs),60
CAES,2023,100,10,Point,LCOS,LCOS ($/kWh),0.0966
CAES,2023,100,24,High,Capital Cost,"CAES Capital (Turbine, Compressor, BOP, & EPC Management) ($/kW)",1153.25
CAES,2023,100,24,High,Capital Cost,Cavern Storage ($/kWh),16.5
CAES,2023,100,24,High,O&M Cost,Fixed O&M ($/kW-year),16.37
CAES,2023,100,24,High,Performance,Rest Before Charge (hrs),0
CAES,2023,100,24,High,Performance,Rest After Discharge (hrs),0
CAES,2023,100,24,High,Performance,RTE (%),0.52
CAES,2023,100,24,High,Performance,Calendar Life (yrs),60
CAES,2023,100,24,High,Performance,Primary DOD (%),0.8
CAES,2023,100,24,High,Capital Cost,Total Installed Cost ($),154925000
CAES,2023,100,24,High,Capital Cost,Total Installed Cost ($/kW),1549.25
CAES,2023,100,24,High,Capital Cost,Total Installed Cost ($/kWh),64.55
CAES,2023,100,24,High,LCOS,LCOS_Project_Life (yrs),60
CAES,2023,100,24,High,LCOS,LCOS ($/kWh),0.1155
CAES,2023,100,24,Low,Capital Cost,"CAES Capital (Turbine, Compressor, BOP, & EPC Management) ($/kW)",943.57
CAES,2023,100,24,Low,Capital Cost,Cavern Storage ($/kWh),2.6
CAES,2023,100,24,Low,O&M Cost,Fixed O&M ($/kW-year),13.39
CAES,2023,100,24,Low,Performance,Rest Before Charge (hrs),0
CAES,2023,100,24,Low,Performance,Rest After Discharge (hrs),0
CAES,2023,100,24,Low,Performance,RTE (%),0.65
CAES,2023,100,24,Low,Performance,Calendar Life (yrs),60
CAES,2023,100,24,Low,Performance,Primary DOD (%),0.8
CAES,2023,100,24,Low,Capital Cost,Total Installed Cost ($),100597000
CAES,2023,100,24,Low,Capital Cost,Total Installed Cost ($/kW),1005.97
CAES,2023,100,24,Low,Capital Cost,Total Installed Cost ($/kWh),41.92
CAES,2023,100,24,Low,LCOS,LCOS_Project_Life (yrs),60
CAES,2023,100,24,Low,LCOS,LCOS ($/kWh),0.0799
CAES,2023,100,24,Point,Capital Cost,"CAES Capital (Turbine, Compressor, BOP, & EPC Management) ($/kW)",1048.41
CAES,2023,100,24,Point,Capital Cost,Cavern Storage ($/kWh),6.63
CAES,2023,100,24,Point,O&M Cost,Fixed O&M ($/kW-year),14.88
CAES,2023,100,24,Point,Performance,Rest Before Charge (hrs),0
CAES,2023,100,24,Point,Performance,Rest After Discharge (hrs),0
CAES,2023,100,24,Point,Performance,RTE (%),0.55
CAES,2023,100,24,Point,Performance,Calendar Life (yrs),60
CAES,2023,100,24,Point,Performance,Primary DOD (%),0.8
CAES,2023,100,24,Point,Capital Cost,Total Installed Cost ($),120753000
CAES,2023,100,24,Point,Capital Cost,Total Installed Cost ($/kW),1207.53
CAES,2023,100,24,Point,Capital Cost,Total Installed Cost ($/kWh),50.31
CAES,2023,100,24,Point,LCOS,LCOS_Project_Life (yrs),60
CAES,2023,100,24,Point,LCOS,LCOS ($/kWh),0.099
CAES,2023,100,100,High,Capital Cost,"CAES Capital (Turbine, Compressor, BOP, & EPC Management) ($/kW)",1152.94
CAES,2023,100,100,High,Capital Cost,Cavern Storage ($/kWh),16.44
CAES,2023,100,100,High,O&M Cost,Fixed O&M ($/kW-year),18.15
CAES,2023,100,100,High,Performance,Rest Before Charge (hrs),0
CAES,2023,100,100,High,Performance,Rest After Discharge (hrs),0
CAES,2023,100,100,High,Performance,RTE (%),0.52
CAES,2023,100,100,High,Performance,Calendar Life (yrs),60
CAES,2023,100,100,High,Performance,Primary DOD (%),0.8
CAES,2023,100,100,High,Capital Cost,Total Installed Cost ($),279694000
CAES,2023,100,100,High,Capital Cost,Total Installed Cost ($/kW),2796.94
CAES,2023,100,100,High,Capital Cost,Total Installed Cost ($/kWh),27.97
